team,matches,high_continuity_matches,points_high_continuity,points_rotated,continuity_points_delta,points_kept_winning_lineup,points_other_lineups,winning_lineup_points_delta,familiarity_points_correlation
Arsenal,228,0,,1.8991228070175439,,,1.8991228070175439,,
Aston Villa,228,0,,1.4473684210526316,,,1.4473684210526316,,
Bournemouth,152,0,,1.1644736842105263,,,1.1644736842105263,,
Brentford,152,0,,1.3157894736842106,,,1.3157894736842106,,
Brighton,228,0,,1.3333333333333333,,,1.3333333333333333,,
Burnley,152,0,,1.0,,,1.0,,
Chelsea,228,0,,1.6798245614035088,,,1.6798245614035088,,
Crystal Palace,228,0,,1.236842105263158,,,1.236842105263158,,
Everton,228,0,,1.2236842105263157,,,1.2236842105263157,,
Fulham,152,0,,1.1907894736842106,,,1.1907894736842106,,
Ipswich,38,0,,0.5789473684210527,,,0.5789473684210527,,
Leeds,114,0,,1.1228070175438596,,,1.1228070175438596,,
Leicester,190,0,,1.2578947368421052,,,1.2578947368421052,,
Liverpool,228,0,,2.162280701754386,,,2.162280701754386,,
Luton,38,0,,0.6842105263157895,,,0.6842105263157895,,
Man City,228,0,,2.241228070175439,,,2.241228070175439,,
Man United,228,0,,1.644736842105263,,,1.644736842105263,,
Newcastle,228,0,,1.469298245614035,,,1.469298245614035,,
Norwich,76,0,,0.5657894736842105,,,0.5657894736842105,,
Nott'm Forest,114,0,,1.219298245614035,,,1.219298245614035,,
Sheffield United,114,0,,0.8157894736842105,,,0.8157894736842105,,
Southampton,190,0,,0.9052631578947369,,,0.9052631578947369,,
Tottenham,228,0,,1.5614035087719298,,,1.5614035087719298,,
Watford,76,0,,0.75,,,0.75,,
West Brom,38,0,,0.6842105263157895,,,0.6842105263157895,,
West Ham,228,0,,1.293859649122807,,,1.293859649122807,,
Wolves,228,0,,1.2456140350877194,,,1.2456140350877194,,
