Season,Date,HomeTeam,AwayTeam,FTR,actual,predicted,predicted_confidence,home_win_probability,draw_probability,away_win_probability,individual_log_loss,home_days_rest,away_days_rest,home_team_points_last_5,away_team_points_last_5,home_xg_diff,away_xg_diff,home_favorite,top_six_home_favorite,promoted_team_involved,suspicious_rest_gap,wrong
2324,2024-04-06,Aston Villa,Brentford,D,draw,home_win,0.4520975,0.4520975,0.27781573,0.2700867,1.2807972,3.0,3.0,7,3,-0.9711271999999997,-0.12230340000000028,True,False,False,False,True
2324,2024-04-06,Fulham,Newcastle,A,away_win,home_win,0.4440343,0.4440343,0.14979024,0.4061755,0.90097,4.0,4.0,7,7,0.12151400000000012,0.600573,True,False,False,False,True
2324,2024-04-06,Wolves,West Ham,A,away_win,home_win,0.524416,0.524416,0.14891519,0.32666877,1.1188085,4.0,4.0,7,6,-0.7293985999999999,-0.4540240000000002,True,False,False,False,True
2324,2024-04-13,Burnley,Brighton,D,draw,home_win,0.528708,0.528708,0.19838375,0.27290827,1.617552,7.0,7.0,6,4,-0.42115279999999977,-1.2169542000000002,True,False,True,False,True
2324,2024-04-13,Nott'm Forest,Wolves,D,draw,home_win,0.5684653,0.5684653,0.2159804,0.2155543,1.5325676,6.0,7.0,5,4,0.48393680000000017,-0.7133501999999998,True,False,True,False,True
2324,2024-04-13,Bournemouth,Man United,D,draw,home_win,0.7204804,0.7204804,0.14610949,0.13341007,1.923399,7.0,6.0,10,5,0.5928838000000001,-1.8233503999999996,True,False,False,False,True
2324,2024-04-14,Liverpool,Crystal Palace,A,away_win,home_win,0.8384347,0.8384347,0.09984911,0.06171619,2.785209,7.0,8.0,11,2,1.8844513999999999,-0.4013928,True,True,False,False,True
2324,2024-04-14,Arsenal,Aston Villa,A,away_win,home_win,0.6600322,0.6600322,0.19783244,0.14213534,1.9509757,8.0,8.0,13,5,1.4023506000000001,-0.9531371999999998,True,True,False,False,True
2324,2024-04-27,Aston Villa,Chelsea,D,draw,home_win,0.48519263,0.48519263,0.16761301,0.3471944,1.7860974,6.0,4.0,10,8,-0.7427502000000001,0.6705677999999997,True,False,False,False,True
2324,2024-05-04,Brentford,Fulham,D,draw,home_win,0.41191664,0.41191664,0.19604029,0.39204305,1.6294351,7.0,7.0,8,4,0.5476496,0.21341279999999996,True,False,False,False,True
2324,2024-05-11,Bournemouth,Brentford,A,away_win,home_win,0.43379804,0.43379804,0.16866753,0.39753437,0.9224739,7.0,7.0,7,8,-0.0228347999999996,0.5785156000000002,True,False,False,False,True
2324,2024-05-11,Newcastle,Brighton,D,draw,home_win,0.6889642,0.6889642,0.1772968,0.13373905,1.72993,7.0,6.0,12,4,1.190348,-0.9171431000000001,True,False,False,False,True
2324,2024-05-19,Brentford,Newcastle,A,away_win,home_win,0.5707131,0.5707131,0.15002543,0.27926144,1.2756069,8.0,4.0,10,7,0.6980236,0.902212,True,False,False,False,True
2425,2024-08-17,Nott'm Forest,Bournemouth,D,draw,home_win,0.45002934,0.45002934,0.23717101,0.3127996,1.4389738,90.0,90.0,6,6,0.38754279999999985,-0.17048479999999988,True,False,True,True,True
2425,2024-08-18,Chelsea,Man City,A,away_win,home_win,0.38012165,0.38012165,0.36244184,0.25743654,1.356982,91.0,91.0,15,15,0.8117262000000001,1.7772745000000003,True,True,False,True,True
2425,2024-08-24,Crystal Palace,West Ham,A,away_win,home_win,0.64294803,0.64294803,0.15485065,0.20220134,1.5984913,6.0,7.0,10,4,0.8284534000000001,-0.7388565999999999,True,False,False,False,True
2425,2024-08-31,Nott'm Forest,Wolves,D,draw,home_win,0.7862282,0.7862282,0.13616507,0.07760672,1.9938874,7.0,6.0,10,0,0.3930856000000005,-2.2157568000000003,True,False,True,False,True
2425,2024-08-31,Leicester,Aston Villa,A,away_win,home_win,0.40634593,0.40634593,0.32450557,0.2691485,1.312492,7.0,7.0,5,4,-0.7274687599999999,-0.7238357,True,False,True,False,True
2425,2024-08-31,Ipswich,Fulham,D,draw,home_win,0.38049185,0.38049185,0.25465176,0.36485636,1.3678583,7.0,7.0,0,7,-3.09232,-0.7774776999999997,True,False,True,False,True
2425,2024-08-31,Arsenal,Brighton,D,draw,home_win,0.7106719,0.7106719,0.12113638,0.16819164,2.1108382,7.0,7.0,15,7,1.6642004,0.49065899999999996,True,True,False,False,True
2425,2024-09-14,Liverpool,Nott'm Forest,A,away_win,home_win,0.80424714,0.80424714,0.09738763,0.09836528,2.3190675,13.0,14.0,13,8,2.1124672,0.5980331999999999,True,True,True,False,True
2425,2024-09-14,Fulham,West Ham,D,draw,home_win,0.505538,0.505538,0.19330429,0.3011577,1.6434897,14.0,14.0,7,6,-0.8104035,-0.19170120000000024,True,False,False,False,True
2425,2024-09-14,Crystal Palace,Leicester,D,draw,home_win,0.49552804,0.49552804,0.24309649,0.2613755,1.4142969,13.0,14.0,7,5,0.01651239999999987,-0.7566197599999996,True,False,True,False,True
2425,2024-09-14,Brighton,Ipswich,D,draw,home_win,0.71011776,0.71011776,0.17520611,0.1146762,1.7417922,14.0,14.0,7,1,0.477773,-2.222140666666667,True,False,True,False,True
2425,2024-09-15,Tottenham,Arsenal,A,away_win,home_win,0.41508192,0.41508192,0.2589124,0.3260057,1.1208404,14.0,15.0,7,13,0.8058498000000003,1.0952963999999998,True,True,False,False,True
2425,2024-09-21,Southampton,Ipswich,D,draw,home_win,0.47467262,0.47467262,0.35667852,0.16864888,1.0309204,7.0,7.0,1,2,-1.5357893999999999,-1.92551475,True,False,True,False,True
